Question,Products_name
"Брауни, одна штука","[""Брауни""]"
брось в корзину бургер с колбасками на пятерых (5) человек,"[""Бургер-пицца Medium"",""Колбаски барбекю Medium""]"
Бруслетики,"[""Бруслетики""]"
Бруслетики и выбери мне любую маленькую пиццу плюс чесночный,"[""Бруслетики"",""Сырная Small"",""Сырный соус Додо""]"
бруслетики и пару пицц,"[""Аррива! Medium"",""Бруслетики"",""Колбаски барбекю Medium""]"
"бруслетики и что-нибудь зеленого цвета, но не пиццы. И Соус с чесноком","[""Бруслетики"",""Сырные палочки с песто"",""Чесночный соус ""]"
бруснично-клюквенные палочки,"[""Слоеные палочки с брусникой и клюквенным соусом 8.0""]"
брусничные палочки,"[""Слоеные палочки с ананасами и брусникой 8.0""]"
бургер и десерт,"[""Бруслетики"",""Бургер-пицца Medium""]"
бургер и чесночную пиццу,"[""Бургер-пицца Medium"",""Цыпленок ранч Medium""]"
Бургер-пицца Large,"[""Бургер-пицца Large""]"
Бургер-пицца Medium,"[""Бургер-пицца Medium""]"
Бургер-пицца Small,"[""Бургер-пицца Small""]"
"бюджетная пицца, но не маленькая","[""Пепперони Фреш Medium""]"
Вафельный рожок,"[""Вафельный рожок""]"
Вафельный рожок (м),"[""Вафельный рожок (м)""]"
вегетарианская пицца и салат,"[""Овощи и грибы Small"",""Салат Цезарь со смесью сыров (трекинг)""]"
Ветчина и грибы Large,"[""Ветчина и грибы Large""]"
Ветчина и грибы Medium,"[""Ветчина и грибы Medium""]"
Ветчина и грибы Small,"[""Ветчина и грибы Small""]"
Ветчина и сыр Large,"[""Ветчина и сыр Large""]"
Ветчина и сыр Medium,"[""Ветчина и сыр Medium""]"
Ветчина и сыр Small,"[""Ветчина и сыр Small""]"
"взял пицу, но забыл остальное, дайте еще дополнительно что-нибудь к заказу ","[""Добрый Кола Big"",""Чесночный соус ""]"
Вилка (не из еды),"[""Вилка""]"
вкусный напиток с маленькой пиццей,"[""Добрый Апельсин 0.5"",""Песто Small""]"
вкусный напиток с пиццей,"[""Коктейль Шоколадный 0.3"",""Сырная Medium""]"
вкусный сладкий десерт тропический,"[""Слоеные палочки с соусом манго и ананасами""]"
вкусный сладкий фруктовый макарон с макаруйя,"[""Макарон манго-маракуйя""]"
вода ,"[""Вода БонаАква негазированная  0.5""]"
Вода БонаАква негазированная  0.5,"[""Вода БонаАква негазированная  0.5""]"
водки или пива,"[""Морс Вишня  0.45""]"
всего 3500 рублей собери заказ из пицц с мясом и грибами и сыром,"[""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Двойной цыпленок Medium"",""Маргарита Medium"",""Пепперони Medium"",""Четыре сезона  Medium""]"
Выбери мне что-нибудь с карицей к додо пицце,"[""Додо Микс Medium"",""Рулетики с корицей""]"
выбери обед из двух блюд,"[""Додстер"",""Паста Карбонара""]"
"гавайская и домашная, обе среднии","[""Гавайская с альфредо Medium"",""Домашняя Medium""]"
Гавайская с альфредо Large,"[""Гавайская с альфредо Large""]"
Гавайская с альфредо Medium,"[""Гавайская с альфредо Medium""]"
Гавайская с альфредо Small,"[""Гавайская с альфредо Small""]"
гавайская с альфредом и острый донер ,"[""Гавайская с альфредо Medium"",""Острый Додстер""]"
"гавайская это пицца с ананасами, но без лука и с фирменный соус альфредо","[""Гавайская с альфредо Large""]"
гавайскую и от шефа максимального размера,"[""Гавайская с альфредо Large"",""Пицца от шефа Large""]"
газировку без сахара,"[""Добрый Кола без сахара Big""]"
Гель-антисептик для рук,"[""Гель-антисептик для рук""]"
Гель-антисептик для рук Antiseptane,"[""Гель-антисептик для рук Antiseptane""]"
"Говядина песто (кусочки, материнская) Large","[""Говядина песто (кусочки, материнская) Large""]"
"Говядина песто Римская 4 шт (кусочки, материнская) Small","[""Говядина песто Римская 4 шт (кусочки, материнская) Small""]"
"Говядина песто Римская 8 шт (кусочки, материнская) Medium","[""Говядина песто Римская 8 шт (кусочки, материнская) Medium""]"
голоден хочу перекусить и сладкое,"[""Бруслетики"",""Додстер""]"
горячий десерт,"[""Брауни""]"
Горячий сорбет апельсин и облепиха 0.3,"[""Горячий сорбет апельсин и облепиха 0.3""]"
Готовая большая Пепперони по специальной цене,"[""Пепперони Large"",""Пепперони Large""]"
Готовая большая Пепперони по специальной цене,"[""Пепперони Large""]"
Грибная (кусочки) Large,"[""Грибная (кусочки) Large""]"
грибная пицца с курицей на троих,"[""Пицца Жюльен Medium""]"
Грибная Римская (4 кусочка) Small,"[""Грибная Римская (4 кусочка) Small""]"
"грибная, пперони и с курятиной","[""Ветчина и грибы Small"",""Пепперони Фреш Small"",""Цыпленок карри Small""]"
Грибной Стартер,"[""Грибной Стартер""]"
"грибную пиццу, но не Ветчина и грибы! Додстер с собой","[""Додстер"",""Пицца Жюльен Small""]"
дай мне попробовать все четыре вида сыра за один раз,"[""Чесночный соус "",""Четыре сыра Small""]"
"дай пиццу на двоих с девушкой, нас двое","[""Домашняя Medium""]"
"Дайте мне большую пиццу с обильным слоем сыра, который расплавится во рту.","[""Сырная Large""]"
два врапа и одна закуска для двоих,"[""Додстер"",""Острый Додстер"",""Сырный Стартер""]"
два кофе и что-нибудь одно популярное,"[""Додстер"",""Кофе Капучино 0.4"",""Кофе Латте 0.4""]"
два кофе со скидкой,"[""Кофе Капучино 0.3"",""Кофе Капучино 0.3""]"
"два морса, клюква и смородина, каждый по 0.45","[""Морс Клюква 0.45"",""Морс Черная смородина 0.45""]"
два напитка,"[""Морс Вишня  0.45"",""Морс Клюква 0.45""]"
два напитка,"[""Rich Tea Зеленый с манго 0.5"",""Добрый Кола Small""]"
два разных додстера и два разных стартера на двоих человек,"[""Грибной Стартер"",""Додстер"",""Додстер Карри"",""Сырный Стартер""]"
два сладких десерта для любимой девушки,"[""Бруслетики"",""Маффин Три шоколада""]"
два элемента со словом Барбекю,"[""Барбекю соус Додо"",""Цыпленок барбекю Large""]"
двадцать девять (29),"[""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3"",""Кофе Капучино 0.3""]"
две без лука на 5 людей,"[""Ветчина и грибы Large"",""Мясная Large""]"
две без лука на томатном соусе,"[""Ветчина и грибы Medium"",""Мясная Medium""]"
две большие неострые пиццы,"[""Ветчина и сыр Large"",""Карбонара Large""]"
две детских пиццы,"[""Пицца Миксик Small""]"
"две дочки любят пиццу, поменьше мяса","[""Додо Микс Small"",""Сырная Small""]"
"две или три разные пиццы, чтобы на них вместе была скидка","[""Ветчина и грибы Small"",""Пепперони Фреш Small"",""Сырная Small""]"
Две испанские пиццы и две популярные,"[""Аррива! Medium"",""Пепперони Фреш Medium"",""Сырная Medium"",""Чоризо фреш Medium""]"
две любых пасты ,"[""Паста Мясная"",""Паста Песто""]"
две маленькие вегетарианские пиццы без мяса,"[""Овощи и грибы Small"",""Сырная Small""]"
две маленькие неострые пиццы,"[""Ветчина и сыр Small"",""Карбонара Small""]"
Две маленькие пиццы в итальянском стиле,"[""Песто Small"",""Пицца Жюльен Small""]"
две маленьких пиццы и газировка,"[""Аррива! Small"",""Добрый Кола Big"",""Цыпленок карри Small""]"
две на букву д,"[""Додо Large"",""Додстер""]"
две пиццы для двух подружек,"[""Пепперони Small"",""Четыре сыра Small""]"
"две пиццы для ребенка, одна с ананасом","[""Гавайская с альфредо Small"",""Пицца Миксик Small""]"
Две пиццы на букву Д,"[""Додстер"",""Домашняя Large""]"
две пиццы на двоих человек среднего размера с итальянскими травами,"[""Маргарита Small"",""Четыре сыра Small""]"
две пиццы на четверых ,"[""Пепперони Фреш Large"",""Сырная Large""]"
"две пиццы, чтобы одна была острая, вторая с курицей","[""Диабло Medium"",""Цыпленок ранч Medium""]"
"две разных пиццы микс, большая и маленькая","[""Додо Микс Large"",""Пицца Миксик Small""]"
две с колбасой среднии,"[""Пепперони Фреш Medium"",""Пепперони Фреш Small""]"
две средние веганские пиццы,"[""Овощи и грибы Medium"",""Четыре сезона  Medium""]"
Двойная пепперони Large,"[""Двойная пепперони Large""]"
Двойная пепперони Medium,"[""Двойная пепперони Medium""]"
Двойная пепперони Small,"[""Двойная пепперони Small""]"
Двойной цыпленок Large,"[""Двойной цыпленок Large""]"
Двойной цыпленок Medium,"[""Двойной цыпленок Medium""]"
Двойной цыпленок Small,"[""Двойной цыпленок Small""]"
"двойную из кусочков на двоих, от шефа","[""Пицца из половинок Large"",""Пицца от шефа Small""]"
девять (9) разных пицц,"[""Ветчина и сыр Medium"",""Двойной цыпленок Medium"",""Пепперони Фреш Medium"",""Чоризо фреш Medium"",""Ветчина и грибы Medium"",""Двойная пепперони Large"",""Колбаски барбекю Medium"",""Бургер-пицца Medium"",""Цыпленок ранч Medium""]"
девять додстеров,"[""Додстер"",""Додстер Карри"",""Додстер Песто"",""Додстер с ветчиной "",""Острый Додстер"",""Супермясной Додстер"",""Додстер"",""Додстер Карри"",""Додстер Песто""]"
девятьнадцать 19 средних пицца маргарита,"[""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium""]"
демонскую маленькую острую пиццу,"[""Диабло Small""]"
Деревенская с бужениной Large,"[""Деревенская с бужениной Large""]"
Деревенская с бужениной Medium,"[""Деревенская с бужениной Medium""]"
Деревенская с бужениной Small,"[""Деревенская с бужениной Small""]"
десерт - слоенки с манго и ананасами,"[""Слоеные палочки с соусом манго и ананасами 8.0""]"
десерт с орехами,"[""Додо тарт 80.0""]"
десертные слоенки с брусникой,"[""Слоеные палочки с ананасами и брусникой 8.0""]"
десткий заказ для ребенка с большим колличеством брынзы,"[""Картофель из печи"",""Пицца Миксик Small""]"
десять додстеров разных вкусов,"[""Додстер"",""Додстер Карри"",""Додстер Песто"",""Додстер с ветчиной "",""Острый Додстер"",""Супермясной Додстер"",""Додстер"",""Додстер Карри"",""Острый Додстер"",""Супермясной Додстер""]"
детская Додо Раскраска чтоб занять детей (несъедобное),"[""Додо Раскраска""]"
детская маленькая пицца,"[""Додо Микс Small""]"
детская пицца ,"[""Пицца Миксик""]"
детская пицца и что-нибудт на завтрак,"[""Малиновое варенье"",""Пицца Миксик Small"",""Сырники с малиновым вареньем""]"
Детский сок “Добрый” Мультифрукт 0.2,"[""Детский сок “Добрый” Мультифрукт 0.2""]"
Детский сок “Добрый” Яблоко 0.2,"[""Детский сок “Добрый” Яблоко 0.2""]"
детскую пиццу и еще одно варенье,"[""Додо Микс Small"",""Малиновое варенье""]"
Диабло Large,"[""Диабло Large""]"
Диабло Medium,"[""Диабло Medium""]"
Диабло Small,"[""Диабло Small""]"
для двух детей и одну итальянскую пиццу,"[""Двойной цыпленок Small"",""Маргарита Small""]"
для дочки и для сына ,"[""Додо Микс Small"",""Додстер Карри""]"
добавь два разных соуса,"[""Барбекю соус Додо"",""Сырный соус Додо""]"
добавь соусы вкусные,"[""Барбекю соус Додо"",""Сырный соус Додо""]"
Добрый Апельсин 0.5,"[""Добрый Апельсин 0.5""]"
Добрый Кола без сахара Big,"[""Добрый Кола без сахара Big""]"
Добрый кола без сахара Small,"[""Добрый Кола без сахара Small""]"
Добрый Кола Big,"[""Добрый Кола Big""]"
Добрый Лайм-Лимон 0.5,"[""Добрый Лайм-Лимон 0.5""]"
Добрый Манго-Маракуйя 0.5,"[""Добрый Манго-Маракуйя 0.5""]"
Додо (без свинины) Large,"[""Додо (без свинины) Large""]"
Додо (без свинины) Medium,"[""Додо (без свинины) Medium""]"
Додо (без свинины) Small,"[""Додо (без свинины) Small""]"
Додо Книга (несъедобное),"[""Додо Книга ""]"
Додо Книги набор (несъедобное),"[""Додо Книги набор""]"
Додо Колпак (несъедобное),"[""Додо Колпак""]"
Додо Микс (без свинины) Large для двух или трех детей,"[""Додо Микс (без свинины) Large""]"
Додо Микс (без свинины) Medium,"[""Додо Микс (без свинины) Medium""]"
Додо Микс (без свинины) Small,"[""Додо Микс (без свинины) Small""]"
Додо Микс Large,"[""Додо Микс Large""]"
Додо Микс Medium,"[""Додо Микс Medium""]"
Додо Микс Small,"[""Додо Микс Small""]"
Додо тарт фирмерный морковный десерт,"[""Додо тарт""]"
Додо Large,"[""Додо Large""]"
Додо Medium,"[""Додо Medium""]"
Додо Small,"[""Додо Small""]"
Додстер,"[""Додстер""]"
"додстер + кола, один чизкейк и маленькая пицца с ветчиной и грибами, один сырный соус, подалуйста","[""Ветчина и грибы Small"",""Добрый Кола Big"",""Додстер"",""Сырный соус Додо"",""Чизкейк Нью-Йорк (новая упаковка)""]"
"додстер для мамы, куриные кусочки для сына (дочки) и одна большая картошка из печи с сырным соусом","[""Додстер"",""Картофель из печи с сырным соусом Big"",""Куриные кусочки"",""Сырный соус Додо""]"
додстер и кофе,"[""Додстер"",""Кофе Капучино 0.4""]"
додстер и пиццу без чеснока,"[""Додстер"",""Цыпленок барбекю Small""]"
додстер и пиццу с салями,"[""Додстер"",""Пепперони Фреш Medium""]"
додстер и с мясом тоже,"[""Додстер"",""Супермясной Додстер""]"
додстер и что-нибудь попить,"[""Додстер"",""Коктейль Классический 0.3""]"
Додстер Карри,"[""Додстер Карри""]"
Додстер Песто,"[""Додстер Песто""]"
Додстер с ветчиной,"[""Додстер с ветчиной ""]"
додстер с пастой и чизкейк,"[""Додстер"",""Паста Карбонара"",""Чизкейк Банановый с шоколадным печеньем""]"
"Додстер, картофель из печи и напиток","[""Додстер"",""Картофель из печи"",""Добрый Кола Small""]"
"Додстер, картофель из печи и напиток","[""Додстер"",""Картофель из печи"",""Кофе Капучино 0.2""]"
"Додстер, картофель из печи и напиток","[""Картофель из печи"",""Додстер"",""Добрый Кола Small""]"
"додстер, колу и липтон пожалуйста","[""Додстер"",""Rich Tea Зеленый с манго 0.5"",""Добрый Кола Small""] "
"додстер, мафин три шоколада, и сырная, все с собой","[""Додстер"",""Маффин Три шоколада"",""Сырная Small""]"
"додстер, салат и карамельный капучино","[""Додстер"",""Кофе Карамельный Капучино 0.3"",""Салат Цезарь со смесью сыров (трекинг)""]"
"додстер, что-нибудь с картошкой, вроде бы все","[""Додстер"",""Ланчбокс с куриными кусочками"",""Сырный соус Додо""]"
додстеры для мужчины мясоеда,"[""Супермясной Додстер"",""Супермясной Додстер""]"
додчстер и латте,"[""Додстер"",""Кофе Латте 0.4""]"
Домашняя Large,"[""Домашняя Large""]"
Домашняя Medium,"[""Домашняя Medium""]"
Домашняя Small,"[""Домашняя Small""]"
доступный и бюджетный перекус,"[""Додстер"",""Добрый Кола Small""]"
доступный обед,"[""Добрый Кола Small"",""Пепперони Фреш Small""]"
Дрип кофе,"[""Дрип кофе""]"
Дэнвич ветчина и сыр,"[""Дэнвич ветчина и сыр""]"
Дэнвич и напиток,"[""Дэнвич ветчина и сыр"",""Добрый Кола Small""]"
Дэнвич и напиток,"[""Дэнвич ветчина и сыр"",""Кофе Капучино 0.2""]"
Дэнвич и напиток,"[""Дэнвич чоризо барбекю"",""Добрый Кола Small""]"
Дэнвич чоризо барбекю,"[""Дэнвич чоризо барбекю""]"
еда для инстаграма,"[""Бруслетики"",""Пицца от шефа Large""]"
Жевательная резинка «Love is...»,"[""Жевательная резинка «Love is...»""]"
забабахай мне додстер с коктельчиком,"[""Додстер"",""Коктейль с Орео 0.3""]"
забыл варенье,"[""Малиновое варенье""]"
забыл соус,"[""Барбекю соус Додо""]"
завтрак с десертом ,"[""Малиновое варенье"",""Сырники с малиновым вареньем"",""Чизкейк Нью-Йорк (новая упаковка)""]"
завтрак с пастой ,"[""Малиновое варенье"",""Паста Мясная"",""Сырники с малиновым вареньем""]"
завтрак с сырниками и кофе,"[""Кофе Латте 0.4"",""Малиновое варенье"",""Сырники с малиновым вареньем""]"
завтрак что нибудь сладкое и полезное,"[""Малиновое варенье"",""Сырники с малиновым вареньем""]"
заказ для ребенка с большой картошкой и куринными кусочками,"[""Додстер"",""Картофель из печи с сырным соусом Big"",""Паста Карбонара"",""Сырный соус Додо""]"
заказ из пицц на четверых человек,"[""Домашняя Medium"",""Домашняя Medium""]"
заказ на 4 человек поесть пицц и закусок,"[""Барбекю соус Додо"",""Картофель из печи"",""Пепперони Фреш Medium"",""Сырная Medium"",""Сырный соус Додо"",""Чоризо фреш Medium""]"
заказ на одного с пиццей и закуской,"[""Додстер"",""Песто Small""]"
"Заказ, который любил делать Железный человек Тони Старк","[""Пепперони Small"",""Чизкейк Нью-Йорк (новая упаковка)""]"
"закинь одну большую томатную маргусю, настроение красного цвета у меня, и чтоб без мяса, вегетерианская","[""Маргарита Large""]"
закинь одну популярную пиццу,"[""Пепперони Medium""]"
закуска до 200 рублей,"[""Грибной Стартер""]"
закуска крылья и соус также,"[""Ланчбокс с куриными кусочками"",""Сырный соус Додо""]"
закуска куриная и на завтрак без пиццы,"[""Крылья «Барбекю»"",""Малиновое варенье"",""Сырники с малиновым вареньем""]"
закуска морс и пицца с соусом,"[""Додстер"",""Морс Клюква 0.45"",""Сырный соус Додо"",""Четыре сезона  Small""]"
закуска на троих перекусить,"[""Грибной Стартер"",""Додстер"",""Сырный Стартер""]"
закуска с ветчиной и кофе,"[""Дэнвич ветчина и сыр"",""Кофе Латте 0.4""]"
закуска с новым вкусом,"[""Додстер Карри""]"
"закуска салат, healthy","[""Салат Цезарь со смесью сыров (трекинг)""]"
закуски на меня и друзей,"[""Грибной Стартер"",""Додстер"",""Острый Додстер"",""Сырный Стартер""]"
закуски острая и не острая,"[""Додстер"",""Острый Додстер""]"
закуску и картошку фри,"[""Додстер"",""Картофель из печи""]"
"закуску с курицей и картофлем внутри, что-то сладкое и не забудь соуса","[""Ланчбокс с куриными кусочками"",""Малиновое варенье"",""Сырники с малиновым вареньем"",""Сырный соус Додо""]"
закуску с сыром,"[""Сырный Стартер""]"
"здоровый обед с чем-нибудь куринным и салат, без пиццы и без пасты","[""Додстер"",""Дэнвич ветчина и сыр"",""Дэнвич чоризо барбекю"",""Сырный Стартер""]"
здоровый перекус для одного спортсмера,"[""Rich Tea Зеленый с манго 0.5"",""Салат Цезарь со смесью сыров (трекинг)""]"
"зеленый чай холодный, кофе надоел","[""Rich Tea Зеленый 0.5""]"
Зеленый чай NEW сенча Big,"[""Зеленый чай NEW сенча Big""]"
Зеленый чай NEW сенча Small,"[""Зеленый чай NEW сенча Small""]"
интересная пицца с соусом плюс пицца с сыром также какая нибудь пикантная пицца,"[""Бургер-пицца Medium"",""Пепперони Фреш Medium"",""Сырная Medium"",""Четыре сезона  Medium"",""Чоризо фреш Medium""]"
"Интересует средний размер пиццы с комбинацией ветчины и нежного цыпленка, а также пепперони фреш и сырной начинкой.","[""Ветчина и сыр Medium"",""Пепперони Фреш Medium"",""Сырная Medium""]"
итальянский десерт,"[""Тирамису NEW""]"
как начать свой день без кофе?,"[""Сырный Стартер"",""Сырный соус Додо""]"
как порадовать девушку она обиделась,"[""Пицца из половинок Large"",""Чизкейк Нью-Йорк (новая упаковка)""]"
как соблазнить девушку,"[""Коктейль Клубничный 0.3""]"
как у бабушки в детстве,"[""Додстер"",""Морс Клюква 0.45""]"
Какао 0.3,"[""Какао 0.3""]"
Какая любимая пицца наёмника Дэдпула,"[""Гавайская с альфредо Medium"",""Мясная Medium""]"
Какие пиццы любят очень плохие девчонки,"[""Сырная Small"",""Четыре сезона  Small""]"
какие соки есть ,"[""Сок Rich Апельсин"",""Сок Rich Вишня"",""Сок Rich Яблоко""]"
Каких размеров надо заказать две пиццы на 4 человека? Нужны Пепперони и пицца Бургер,"[""Бургер-пицца Large"",""Пепперони Large""]"
Каких размеров надо заказать две сырные пиццы на двух человек?,"[""Сырная Small"",""Сырная Small""]"
какой нибудь сладкий десерт убрать грусть,"[""Рулетики с корицей""]"
"какую пиццу берут дети + итальянская пицца без мяса, пиццу с колбасой ","[""Двойной цыпленок Medium"",""Маргарита Medium"",""Пепперони Фреш Medium""]"
кампот и салат,"[""Морс Клюква 0.45"",""Салат Цезарь со смесью сыров (трекинг)""]"
карамельное мороженое не в вафельном стаканчике,"[""Мороженое в стаканчике с карамелью""]"
Карамельное яблоко молочный коктейль (фризер) 0.3,"[""Карамельное яблоко молочный коктейль (фризер) 0.3""]"
Карамельное яблоко молочный коктейль 0.3,"[""Карамельное яблоко молочный коктейль 0.3""]"
карамельный маффин,"[""Маффин Соленая карамель 120.0""]"
карамельный яблочный молочный коктель с одной маленькой пиццей Жульен на фирменном соусе альфредо,"[""Карамельное яблоко молочный коктейль 0.3"",""Пицца Жюльен Small""]"
Карбонара (без свинины) Large с луком и сырами чеддер,"[""Карбонара (без свинины) Large""]"
Карбонара (без свинины) Medium,"[""Карбонара (без свинины) Medium""]"
Карбонара (без свинины) Small,"[""Карбонара (без свинины) Small""]"
Карбонара Large,"[""Карбонара Large""]"
Карбонара Medium,"[""Карбонара Medium""]"
Карбонара Small,"[""Карбонара Small""]"
"Карбонара, но не пицца","[""Додо Микс Large"",""Карбонара Large""]"
Картофель из печи,"[""Картофель из печи""]"
Картофель из печи с сырным соусом Big,"[""Картофель из печи с сырным соусом Big""]"
Картофель из печи с сырным соусом Small,"[""Картофель из печи с сырным соусом Small""]"
картофель фри и закуска с курицей,"[""Картофель из печи"",""Крылья «Барбекю»""]"
картофель фри с соусос,"[""Картофель из печи с сырным соусом Big"",""Сырный соус Додо""]"
"картофель фри, пицца с фрутками и дрессинг один ","[""Гавайская с альфредо Small"",""Картофель из печи"",""Сырный соус Додо""]"
Картофельные оладьи Big,"[""Картофельные оладьи Big""]"
Картофельные оладьи Small,"[""Картофельные оладьи Small""]"
"Картофельные оладьи, 4 шт","[""Картофельные оладьи, 4 шт""]"
"Картофельные оладьи, 8 шт","[""Картофельные оладьи, 8 шт""]"
"картошка фри, одна порция","[""Картофель из печи""]"
картошку с грибами,"[""Грибной Стартер"",""Картофель из печи""]"
картошку фри с соусом,"[""Картофель из печи"",""Сырный соус Додо""]"
классический десерт с корицей и одна не маленькая пицца без мяса,"[""Рулетики с корицей"",""Сырная Medium""]"
клубничное мороженое не в вафельном стаканчике,"[""Мороженое в стаканчике с клубникой""]"
клубничный коктейль,"[""Коктейль Клубничный (фризер) 0.3""]"
клубничный коктейль,"[""Коктейль Клубничный 0.3""]"
Книга «И ботаники делают бизнес 1+2»,"[""Книга «И ботаники делают бизнес 1+2»""]"
кокосовый коктейль,"[""Кокосовый молочный коктейль (фризер) 0.3""]"
Кокосовый молочный коктейль (фризер) 0.3,"[""Кокосовый молочный коктейль (фризер) 0.3""]"
Кокосовый молочный коктейль 0.3,"[""Кокосовый молочный коктейль 0.3""]"
Коктейль Классический (фризер) 0.3,"[""Коктейль Классический (фризер) 0.3""]"
Коктейль Классический 0.3,"[""Коктейль Классический 0.3""]"
Коктейль Клубничный (фризер) 0.3,"[""Коктейль Клубничный (фризер) 0.3""]"
Коктейль Клубничный 0.3,"[""Коктейль Клубничный 0.3""]"
коктейль с бананом,"[""Банановый коктейль (фризер) 0.3""]"
коктейль с бананом,"[""Банановый коктейль 0.3""]"
коктейль с клубникой,"[""Коктейль Клубничный (фризер) 0.3""]"
коктейль с клубникой,"[""Коктейль Клубничный 0.3""]"
коктейль с кокосом,"[""Кокосовый молочный коктейль (фризер) 0.3""]"
коктейль с манго,"[""Манго-шейк (NEW) фризер 0.3""]"
коктейль с орео,"[""Коктейль с Орео (фризер) 0.3""]"
коктейль с орео,"[""Коктейль с Орео 0.3""]"
Коктейль с Орео (фризер) 0.3,"[""Коктейль с Орео (фризер) 0.3""]"
Коктейль с Орео 0.3,"[""Коктейль с Орео 0.3""]"
коктейль с шоколадом,"[""Коктейль Шоколадный (фризер) 0.3""]"
коктейль с яблоком,"[""Карамельное яблоко молочный коктейль (фризер) 0.3""]"
коктейль с яблоком,"[""Карамельное яблоко молочный коктейль 0.3""]"
коктейль со вкусом банана,"[""Банановый коктейль (фризер) 0.3""]"
коктейль со вкусом банана,"[""Банановый коктейль 0.3""]"
коктейль со вкусом клубники,"[""Коктейль Клубничный (фризер) 0.3""]"
коктейль со вкусом клубники,"[""Коктейль Клубничный 0.3""]"
коктейль со вкусом кокоса,"[""Кокосовый молочный коктейль (фризер) 0.3""]"
коктейль со вкусом орео,"[""Коктейль с Орео (фризер) 0.3""]"
коктейль со вкусом орео,"[""Коктейль с Орео 0.3""]"
коктейль со вкусом черно-белых печенек,"[""Коктейль с Орео (фризер) 0.3""]"
коктейль со вкусом черно-белых печенек,"[""Коктейль с Орео 0.3""]"
коктейль со вкусом шоколада,"[""Коктейль Шоколадный (фризер) 0.3""]"
коктейль со вкусом шоколада,"[""Коктейль Шоколадный 0.3""]"
коктейль со вкусом яблока,"[""Карамельное яблоко молочный коктейль 0.3""]"
"коктейль со вкусом яблока, холодное","[""Карамельное яблоко молочный коктейль (фризер) 0.3""]"
Коктейль Шоколадный (фризер) 0.3,"[""Коктейль Шоколадный (фризер) 0.3""]"
Коктейль Шоколадный 0.3,"[""Коктейль Шоколадный 0.3""]"
кола и острый додстер,"[""Добрый Кола Big"",""Острый Додстер""]"
кола Small,"[""Добрый Кола Small""]"
Колбаски барбекю Large,"[""Колбаски барбекю Large""]"
Колбаски барбекю Medium,"[""Колбаски барбекю Medium""]"
Колбаски барбекю Small,"[""Колбаски барбекю Small""]"
Коллекционный магнит «Додо Пиццы»,"[""Коллекционный магнит «Додо Пиццы»""]"
"колу на двоих, с колбасками и вкусную","[""Добрый Кола Big"",""Колбаски барбекю Small"",""Четыре сезона  Small""]"
комбо без пиццы с ореховым латте,"[""Додстер"",""Кофе Ореховый латте 0.3"",""Салат Цезарь со смесью сыров (трекинг)""]"
Комбо Завтрак,"[""Кофе Латте 0.2"",""Омлет с беконом в пите""]"
Комбо Завтрак,"[""Кофе Латте 0.2"",""Омлет с песто в пите""]"
Комбо Завтрак на двоих,"[""Кофе Капучино 0.4"",""Кофе Капучино 0.4"",""Омлет с пепперони в пите"",""Стартер с ветчиной""]"
Комбо Завтрак на двоих,"[""Кофе Капучино 0.4"",""Омлет с пепперони в пите"",""Стартер с ветчиной"",""Кофе Капучино 0.4""]"
Комбо Завтрак на двоих,"[""Стартер с ветчиной"",""Кофе Капучино 0.4"",""Омлет с пепперони в пите"",""Кофе Капучино 0.4""]"
комбо из двух пицц,"[""Пепперони Фреш Medium"",""Чоризо фреш Medium""]"
комбо из закусок перекус без пицц,"[""Грибной Стартер"",""Додстер"",""Супермясной Додстер"",""Сырный Стартер""]"
комбо из м аленьких пицц и соус до 1000 рублей,"[""Пепперони Фреш Small"",""Сырная Small"",""Сырный соус Додо"",""Чоризо фреш Small""]"
комбо из маленьких пицц и десерт,"[""Бруслетики"",""Пепперони Фреш Small"",""Сырная Small"",""Чоризо фреш Small""]"
комбо из пицц на двоих человек и закуска перекус,"[""Додстер"",""Пепперони Фреш Medium"",""Сырная Medium"",""Чоризо фреш Medium""]"
